RM,MEDV
3.6,27.5
3.9,23.1
4.1,12.850000000000001
4.4,8.8
4.5,7.0
4.6,17.9
4.7,10.5
4.9,12.6
5.0,19.25714285714286
5.1,8.1
5.2,17.05
5.3,11.833333333333334
5.4,16.32
5.5,12.585714285714285
5.6,17.905
5.7,16.694444444444443
5.8,18.20952380952381
5.9,19.31276595744681
6.0,18.642857142857142
6.1,20.927027027027027
6.2,20.41904761904762
6.3,19.944444444444443
6.4,20.415384615384617
6.5,20.22307692307692
6.6,25.491666666666664
6.7,24.66875
6.8,24.74705882352941
6.9,29.130000000000003
7.0,31.225
7.1,31.95
7.2,35.0
7.3,30.516666666666666
7.4,29.52
7.5,45.15
7.6,44.15
7.7,40.95
7.8,45.8
7.9,49.625
8.0,43.8
8.1,38.7
8.2,48.3
8.3,44.825
8.4,49.4
8.7,50.0
8.8,21.9
